Año Comercial,Tramo segun ventas (18 tramos),Tramo segun ventas (13 tramos),Tramo segun ventas (5 tramos),Número de empresas,Ventas anuales en UF,Número de trabajadores dependientes informados,Renta neta informada en UF,Trabajadores ponderados por meses trabajados,Número de trabajadores dependientes de género femenino informados,"Renta neta informada en UF, trabajadores de género femenino",Trabajadores de género femenino ponderados por meses trabajados,Número de trabajadores dependientes de género masculino informados,"Renta neta informada en UF, trabajadores de género masculino",Trabajadores de género masculino ponderados por meses trabajados,Número de trabajadores a honorarios informados,Honorarios pagados informados en UF,Trabajadores a honorarios ponderados por meses trabajados,Número de trabajadores a honorarios de género femenino informados,Honorarios pagados informados a trabajadores de género femenino en UF,Trabajadores a honorarios de género femenino ponderados por meses trabajados,Número de trabajadores a honorarios de género masculino informados,Honorarios pagados informados a trabajadores de género masculino en UF,Trabajadores a honorarios de género masculino ponderados por meses trabajados
2005,Tramo 17 hasta 60.000.000 UF,Grande 4,Grande,19,811252769.55,40963,20079829.119,33992.245,11690,3751093.06,9586.165,29179,16314624.664,24337.164,10207,1013638.697,0,3186,256880.244,0,7021,751334.252,0
2005,Tramo 15 hasta 15.000.000 UF,Grande 4,Grande,341,2049380200.06,360897,98257960.296,253677.017,116694,21947572.173,79614.478,243914,76187688.547,173986.956,309726,10793520.668,0,218431,4494362.155,0,91295,6261603.017,0
2005,Tramo 18 más de 60.000.000 UF,Grande 4,Grande,18,2549220620.69,70794,45229277.305,58321.242,21014,7546374.156,16565.247,49622,37669930.916,41745.495,14927,2000313.314,0,5294,451043.237,0,9633,1541323.463,0
2005,Tramo 7 hasta 25.000 UF,Pequeña 3,Pequeña,26207,405945922.56,652349,56552368.465,354568.25,203378,18869759.208,114858.283,447737,37594256.962,239409.884,276875,17734675.716,0,110681,6706792.278,0,166194,10959546.955,0
2005,Tramo 14 hasta 3.000.000 UF,Grande 4,Grande,798,1355372220.54,476176,98759449.697,305866.149,128830,20826045.969,84466.306,345836,77754412.592,221265.091,152107,10205732.861,0,60208,3352011.343,0,91899,6819158.508,0
2005,Tramo 12 hasta 600.000 UF,Grande 2,Grande,3019,1009955163.81,760646,99141803.116,433291.561,230734,25673811.104,134816.027,528917,73318285.642,298316.116,228595,14198248.329,0,93097,4839465.643,0,135498,9301805.395,0
2005,Tramo 13 hasta 1.000.000 UF,Grande 3,Grande,688,533739568.11,300637,48530877.389,181398.43,95341,12060297.361,59769.228,205032,36432409.144,121570.785,113696,5605493.035,0,61409,2034021.212,0,52287,3545719.976,0
2005,Tramo 1 Sin ventas/Sin info.,Sin Ventas/Sin Información,Sin Ventas/Sin Información,141914,0,403053,89058342.876,342100.292,156496,34913131.693,133384.984,246052,54099121.153,208608.472,115683,9881230.527,0,51158,3954933.709,0,64525,5904887.805,0
2005,Tramo 2 hasta 200 UF,Micro 1,Micro,253525,18666069.64,74308,13504105.462,54270.071,33746,6642295.074,26215.245,40470,6856768.651,28027.743,128740,2935534.404,0,65830,1174436.547,0,62910,1747017.428,0
2005,Tramo 8 hasta 50.000 UF,Mediana 1,Mediana,10730,375487633.51,519876,53124698.397,287555.619,158328,16054863.213,89624.378,360543,37010247.035,197753.908,204995,13884872.877,0,79039,4998170.308,0,125956,8840316.87,0
2005,Tramo 4 hasta 2.400 UF,Micro 3,Micro,168296,207927620.72,336857,29197575.854,202398.009,137737,14346639.809,93056.557,198542,14826857.971,109185.951,226343,9206956.072,0,104422,3991698.081,0,121921,5188216.563,0
2005,Tramo 3 hasta 600 UF,Micro 2,Micro,155923,57171814.5,94758,10023659.779,60967.315,39143,5009406.85,27728.577,54973,5004520.89,33187.738,120344,3074287.628,0,59636,1318810.266,0,60708,1747615.483,0
2005,Tramo 10 hasta 100.000 UF,Mediana 2,Mediana,2352,203797265.22,231436,23699746.188,122836.606,78455,7018473.764,41084.063,152685,16663195.679,81696.544,96479,5166003.541,0,43023,1934513.629,0,53456,3217103.432,0
2005,Tramo 6 hasta 10.000 UF,Pequeña 2,Pequeña,35014,245883056.96,417582,29601363.863,222302.476,129558,10060356.644,72023.135,287336,19491627.248,150110.841,173889,11170340.679,0,70220,4413957.319,0,103669,6718898.109,0
2005,Tramo 11 hasta 200.000 UF,Grande 1,Grande,3805,532791036.08,524838,60453316.311,293589.618,165442,16430064.408,94805.459,358650,43960716.807,198661.743,183524,10906544.764,0,72943,3851021.733,0,110581,7012449.597,0
2005,Tramo 5 hasta 5.000 UF,Pequeña 1,Pequeña,57090,197726443.68,324007,27438964.863,182483.421,107857,11154498.362,65566.56,215591,16257628.081,116773.446,171933,12354984.222,0,71637,4555151.24,0,100296,7757891.186,0
2005,Tramo 16 hasta 30.000.000 UF,Grande 4,Grande,44,881952635.72,64287,29781865.844,52818.244,23116,7018862.243,18240.08,41062,22740170.29,34537.079,41059,2517613.724,0,20139,856915.062,0,20920,1651102.365,0
2005,Tramo 9 hasta 75.000 UF,Mediana 2,Mediana,4304,262439332.38,305428,33793712.725,171575.507,93666,9807190.658,54367.894,211206,23914581.687,117113.696,122762,7424193.527,0,48783,2570879.251,0,73979,4823746.104,0
2006,Tramo 13 hasta 1.000.000 UF,Grande 3,Grande,754,577941142.12,325254,52021655.381,193470.672,98071,12854292.516,60863.143,226655,39143217.316,132563.613,83607,5226382.188,0,35706,1809460.068,0,47901,3390088.175,0
2006,Tramo 2 hasta 200 UF,Micro 1,Micro,254681,18941962.45,75524,13968274.599,54499.488,34107,6830923.777,26361.245,41287,7129477.191,28099.909,128684,3222167.406,0,66632,1280521.095,0,62052,1934080.452,0
2006,Tramo 9 hasta 75.000 UF,Mediana 2,Mediana,4466,272608044.05,350004,34851447.361,182751.907,114466,10019737.931,59143.803,234857,24814965.304,123527.521,119434,7645112.003,0,48357,2757178.007,0,71077,4863262.317,0
2006,Tramo 6 hasta 10.000 UF,Pequeña 2,Pequeña,36859,258803039.62,457902,36251944.223,243174.798,149297,13311011.45,83313.63,307661,22906995.408,159675.919,183566,12404010.611,0,77003,5006648.861,0,106563,7361585.554,0
2006,Tramo 4 hasta 2.400 UF,Micro 3,Micro,172961,213958278.88,361032,36169106.24,214032.252,148322,18058439.564,98613.221,211998,18076484.137,115236.281,230274,9470265.156,0,108036,4070714.39,0,122238,5380205.702,0
2006,Tramo 8 hasta 50.000 UF,Mediana 1,Mediana,11343,397017501.57,561750,56478148.72,306542.938,165845,16629263.285,93502.292,394445,39796640.363,212835.647,230307,14379927.32,0,90359,5207983.147,0,139948,9132377.808,0
2006,Tramo 7 hasta 25.000 UF,Pequeña 3,Pequeña,27593,429014664.92,682370,57366789.78,367100.99,216128,18881279.486,120098.279,464801,38393384.017,246687.212,285317,18989889.966,0,113849,7233551.194,0,171468,11707059.092,0
2006,Tramo 12 hasta 600.000 UF,Grande 2,Grande,3266,1084461578.2,808030,105792729.029,454515.964,249255,27208542.554,144575.355,556942,78441880.919,309770.526,243914,14555689.008,0,102961,5111611.097,0,140953,9396814.054,0
2006,Tramo 17 hasta 60.000.000 UF,Grande 4,Grande,23,944859803.82,44087,18307058.657,34360.744,12893,3307110.727,9564.581,31083,14981715.616,24747.413,7060,644082.797,0,2283,162327.399,0,4777,478434.161,0
